"num_docks_disabled","is_returning","num_docks_available","is_installed","num_ebikes_available","station_id","num_bikes_available","is_renting","num_scooters_available","last_reported","num_scooters_unavailable","num_bikes_disabled","fecha_hora"
0,0,1,1,0,"a3a6c38e-a135-11e9-9cda-0a87ae2ba916",0,0,0,1773986160,0,18,2026-03-20 05:56:00
0,1,3,1,12,"a3a59ec3-a135-11e9-9cda-0a87ae2ba916",16,1,0,1774036450,0,0,2026-03-20 19:54:10
0,1,9,1,4,"a3a8804b-a135-11e9-9cda-0a87ae2ba916",8,1,2,1774036447,0,0,2026-03-20 19:54:07
0,1,1,1,8,"a3aa0bb7-a135-11e9-9cda-0a87ae2ba916",14,1,0,1774036448,0,0,2026-03-20 19:54:08
0,1,8,1,1,"a3b148bf-a135-11e9-9cda-0a87ae2ba916",2,1,1,1774036451,0,0,2026-03-20 19:54:11
0,1,19,1,9,"a3a614ad-a135-11e9-9cda-0a87ae2ba916",11,1,1,1774036451,0,0,2026-03-20 19:54:11
0,1,8,1,5,"a3afd7ab-a135-11e9-9cda-0a87ae2ba916",6,1,1,1774036450,0,0,2026-03-20 19:54:10
0,1,9,1,0,"a3b1fa1c-a135-11e9-9cda-0a87ae2ba916",2,1,0,1774036451,0,0,2026-03-20 19:54:11
0,1,13,1,0,"e63300bd-4ca3-4255-adfd-522289d68b8a",1,1,0,1774036452,0,0,2026-03-20 19:54:12
0,1,12,1,1,"1871992980799203880",3,1,0,1774036453,0,0,2026-03-20 19:54:13
0,1,10,1,4,"a3a965b2-a135-11e9-9cda-0a87ae2ba916",4,1,1,1774036453,0,0,2026-03-20 19:54:13
0,1,12,1,1,"1879436840905128284",3,1,0,1774036453,0,0,2026-03-20 19:54:13
0,1,13,1,0,"1943245395846580390",2,1,0,1774036460,0,0,2026-03-20 19:54:20
0,1,11,1,1,"a3a75885-a135-11e9-9cda-0a87ae2ba916",12,1,0,1774036458,0,0,2026-03-20 19:54:18
0,1,8,1,0,"da9e6779-5056-4d45-bae3-9dc325ed2807",3,1,0,1774036458,0,0,2026-03-20 19:54:18
0,1,10,1,0,"1934289361049585738",5,1,0,1774036467,0,0,2026-03-20 19:54:27
0,1,3,1,3,"a3ac7444-a135-11e9-9cda-0a87ae2ba916",6,1,6,1774036464,0,0,2026-03-20 19:54:24
0,1,6,1,6,"1929883678185797908",8,1,0,1774036464,0,1,2026-03-20 19:54:24
0,1,4,1,2,"1933998036428004326",3,1,0,1774036466,0,0,2026-03-20 19:54:26
0,1,4,1,0,"1934288718318207280",3,1,0,1774036466,0,0,2026-03-20 19:54:26
